SHIPMENT_NUMBER,CARRIER_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,on_time_estimation
SEZHUK-230922-246665,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,2023-10-26 23:00:00+00:00,2023-10-26 23:59:00+00:00,True
SEZHUK-230922-246666,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-10-27 16:00:00+00:00,2023-10-27 17:00:00+00:00,2023-10-27 23:00:00+00:00,2023-10-27 23:59:00+00:00,True
SEZHUK-230922-246668,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-10-30 16:00:00+00:00,2023-10-30 17:00:00+00:00,2023-10-30 23:00:00+00:00,2023-10-30 23:59:00+00:00,True
SEZHUK-230922-246669,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-10-31 14:00:00+00:00,2023-10-31 15:00:00+00:00,2023-10-31 23:00:00+00:00,2023-10-31 23:59:00+00:00,True
SEZHUK-230922-246672,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-11-03 16:00:00+00:00,2023-11-03 17:00:00+00:00,2023-11-03 23:00:00+00:00,2023-11-03 23:59:00+00:00,True
SEZHUK-230925-247262,CAUK001009,3.5T Van,LWB Van,CA3 0EH,DE74 2TR,54.922111,-2.957338,52.829374,-1.332134,2023-10-06 16:45:00+00:00,2023-10-06 17:45:00+00:00,2023-10-06 21:10:00+00:00,2023-10-06 22:10:00+00:00,True
SEZHUK-230925-247268,CAUK001009,3.5T Van,LWB Van,L24 8RF,DE74 2TR,53.349124,-2.876108,52.829374,-1.332134,2023-10-06 18:25:00+00:00,2023-10-06 19:25:00+00:00,2023-10-06 21:15:00+00:00,2023-10-06 22:15:00+00:00,True
SEZHUK-230925-247273,CAUK001009,3.5T Van,LWB Van,DE74 2TR,RG2 0RP,52.829374,-1.332134,51.432237,-0.984601,2023-10-06 04:00:00+00:00,2023-10-06 05:00:00+00:00,2023-10-06 07:45:00+00:00,2023-10-06 08:45:00+00:00,True
SEZHUK-230925-247275,CAUK001009,3.5T Van,LWB Van,BS32 0BF,DE74 2TR,51.54695,-2.551256,52.829374,-1.332134,2023-10-02 15:15:00+00:00,2023-10-02 16:15:00+00:00,2023-10-02 19:30:00+00:00,2023-10-02 20:30:00+00:00,True
SEZHUK-230925-247276,CAUK001009,3.5T Van,LWB Van,WR4 0SZ,DE74 2TR,52.201285,-2.16588,52.829374,-1.332134,2023-10-02 17:00:00+00:00,2023-10-02 18:00:00+00:00,2023-10-02 19:30:00+00:00,2023-10-02 20:30:00+00:00,True
SEZHUK-230925-247286,CAUK001009,3.5T Van,LWB Van,DE74 2TR,L24 8RF,52.829374,-1.332134,53.349124,-2.876108,2023-10-07 04:45:00+00:00,2023-10-07 05:45:00+00:00,2023-10-07 09:00:00+00:00,2023-10-07 10:00:00+00:00,True
SEZHUK-230925-247287,CAUK001009,3.5T Van,LWB Van,NP10 9DQ,DE74 2TR,51.582459,-3.043825,52.829374,-1.332134,2023-10-07 08:30:00+00:00,2023-10-07 09:30:00+00:00,2023-10-07 12:30:00+00:00,2023-10-07 13:30:00+00:00,True
SEZHUK-230925-247290,CAUK001009,3.5T Van,LWB Van,BS32 0BF,DE74 2TR,51.54695,-2.551256,52.829374,-1.332134,2023-10-05 15:15:00+00:00,2023-10-05 16:15:00+00:00,2023-10-05 19:30:00+00:00,2023-10-05 20:30:00+00:00,True
SEZHUK-230925-247295,CAUK001009,3.5T Van,LWB Van,DE74 2TR,EN1 1TX,52.829374,-1.332134,51.650981,-0.054718,2023-10-05 04:50:00+00:00,2023-10-05 05:50:00+00:00,2023-10-05 08:20:00+00:00,2023-10-05 09:20:00+00:00,True
SEZHUK-230925-247305,CAUK001009,3.5T Van,LWB Van,DE74 2TR,RG2 0RP,52.829374,-1.332134,51.432237,-0.984601,2023-10-05 04:00:00+00:00,2023-10-05 05:00:00+00:00,2023-10-05 07:45:00+00:00,2023-10-05 08:45:00+00:00,True
SEZHUK-230925-247308,CAUK001009,3.5T Van,LWB Van,CA3 0EH,DE74 2TR,54.922111,-2.957338,52.829374,-1.332134,2023-10-03 16:45:00+00:00,2023-10-03 17:45:00+00:00,2023-10-03 21:10:00+00:00,2023-10-03 22:10:00+00:00,True
SEZHUK-230925-247321,CAUK001009,3.5T Van,LWB Van,DE74 2TR,RG2 0RP,52.829374,-1.332134,51.432237,-0.984601,2023-10-03 04:00:00+00:00,2023-10-03 05:00:00+00:00,2023-10-03 07:45:00+00:00,2023-10-03 08:45:00+00:00,True
SEZHUK-230925-247326,CAUK001009,3.5T Van,LWB Van,CA3 0EH,DE74 2TR,54.922111,-2.957338,52.829374,-1.332134,2023-10-04 16:45:00+00:00,2023-10-04 17:45:00+00:00,2023-10-04 21:10:00+00:00,2023-10-04 22:10:00+00:00,True
SEZHUK-230925-247330,CAUK001009,3.5T Van,LWB Van,DE74 2TR,CO4 9QJ,52.829374,-1.332134,51.920887,0.927015,2023-10-04 04:50:00+00:00,2023-10-04 05:50:00+00:00,2023-10-04 08:50:00+00:00,2023-10-04 09:50:00+00:00,True
SEZHUK-230925-247331,CAUK001009,3.5T Van,LWB Van,CO4 9QJ,DE74 2TR,51.920887,0.927015,52.829374,-1.332134,2023-10-04 17:30:00+00:00,2023-10-04 18:30:00+00:00,2023-10-04 21:10:00+00:00,2023-10-04 22:10:00+00:00,True
SEZHUK-230926-247516,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,CA10 2EY,DN8 5TE,54.622276,-2.710485,53.566639,-0.919839,2023-10-02 08:00:00+00:00,2023-10-02 15:00:00+00:00,2023-10-02 08:00:00+00:00,2023-10-02 15:00:00+00:00,False
SEZHUK-230926-247519,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,CA10 2EY,DN8 5TE,54.622276,-2.710485,53.566639,-0.919839,2023-10-02 08:00:00+00:00,2023-10-02 14:00:00+00:00,2023-10-02 08:00:00+00:00,2023-10-02 15:00:00+00:00,True
SEZHUK-230927-247976,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-03 00:30:00+00:00,2023-10-03 01:00:00+00:00,2023-10-03 03:00:00+00:00,2023-10-03 03:30:00+00:00,True
SEZHUK-230927-247978,CAUK000912,3.5 T Van,Box,BD5 8LZ,LS27 0FU,53.767093,-1.742286,53.734398,-1.604189,2023-10-03 03:15:00+00:00,2023-10-03 03:45:00+00:00,2023-10-03 05:00:00+00:00,2023-10-03 05:30:00+00:00,False
SEZHUK-230927-247990,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-04 00:30:00+00:00,2023-10-04 01:00:00+00:00,2023-10-04 03:00:00+00:00,2023-10-04 03:30:00+00:00,False
SEZHUK-230927-248070,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,NAAS,53.293393,-1.074008,53.207122,-6.742479,2023-10-04 00:00:00+00:00,2023-10-04 23:59:00+00:00,2023-10-06 08:25:00+00:00,2023-10-06 08:55:00+00:00,True
SEZHUK-230927-248093,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-05 00:30:00+00:00,2023-10-05 01:00:00+00:00,2023-10-05 03:00:00+00:00,2023-10-05 03:30:00+00:00,True
SEZHUK-230927-248095,CAUK000912,3.5 T Van,Box,S35 2PW,LS27 0FU,53.476793,-1.471546,53.734398,-1.604189,2023-10-05 03:15:00+00:00,2023-10-05 03:45:00+00:00,2023-10-05 05:00:00+00:00,2023-10-05 05:30:00+00:00,True
SEZHUK-230927-248108,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-06 00:30:00+00:00,2023-10-06 01:00:00+00:00,2023-10-06 03:00:00+00:00,2023-10-06 03:30:00+00:00,True
SEZHUK-230927-248111,CAUK000912,3.5 T Van,Box,S35 2PW,LS27 0FU,53.476793,-1.471546,53.734398,-1.604189,2023-10-06 03:15:00+00:00,2023-10-06 03:45:00+00:00,2023-10-06 05:00:00+00:00,2023-10-06 05:30:00+00:00,True
SEZHUK-230927-248123,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-07 00:30:00+00:00,2023-10-07 01:00:00+00:00,2023-10-07 03:00:00+00:00,2023-10-07 03:30:00+00:00,True
SEZHUK-230927-248125,CAUK000912,3.5 T Van,Box,S35 2PW,LS27 0FU,53.476793,-1.471546,53.734398,-1.604189,2023-10-07 03:15:00+00:00,2023-10-07 03:45:00+00:00,2023-10-07 05:00:00+00:00,2023-10-07 05:30:00+00:00,True
SEZHUK-230927-248136,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-08 00:30:00+00:00,2023-10-08 01:00:00+00:00,2023-10-08 03:00:00+00:00,2023-10-08 03:30:00+00:00,True
SEZHUK-230927-248138,CAUK000912,3.5 T Van,Box,S35 2PW,LS27 0FU,53.476793,-1.471546,53.734398,-1.604189,2023-10-08 03:15:00+00:00,2023-10-08 03:45:00+00:00,2023-10-08 05:00:00+00:00,2023-10-08 05:30:00+00:00,True
SEZHUK-230927-248155,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-01 00:30:00+00:00,2023-10-01 01:00:00+00:00,2023-10-01 03:00:00+00:00,2023-10-01 03:30:00+00:00,True
SEZHUK-230928-248240,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,DN3 3FG,HP5 1QJ,53.537133,-1.037405,51.692773,-0.592602,2023-10-02 06:00:00+00:00,2023-10-02 18:00:00+00:00,2023-10-03 08:00:00+00:00,2023-10-03 14:59:00+00:00,True
SEZHUK-230928-248315,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,NP26 3RA,RM20 3LG,51.585139,-2.844668,51.476241,0.268788,2023-10-02 06:00:00+00:00,2023-10-02 06:30:00+00:00,2023-10-02 10:30:00+00:00,2023-10-02 11:00:00+00:00,False
SEZHUK-230928-248317,CAUK000428,Tractor Unit,Curtain-Side 13.6M Trailer,AL10 9TR,CT2 7PX,51.772167,-0.250353,51.293329,1.092989,2023-10-02 06:00:00+00:00,2023-10-02 06:30:00+00:00,2023-10-02 11:30:00+00:00,2023-10-02 12:00:00+00:00,True
SEZHUK-230928-248333,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,OX11 7HJ,52.800481,-1.663328,51.619119,-1.256837,2023-10-02 14:00:00+00:00,2023-10-02 14:30:00+00:00,2023-10-02 18:00:00+00:00,2023-10-02 18:30:00+00:00,True
SEZHUK-230928-248334,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NN8 6GR,52.800481,-1.663328,52.30156,-0.733166,2023-10-02 07:00:00+00:00,2023-10-02 07:30:00+00:00,2023-10-02 10:30:00+00:00,2023-10-02 11:00:00+00:00,True
SEZHUK-230928-248352,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,SP4 7GQ,53.293393,-1.074008,51.17534,-1.753679,2023-10-02 10:00:00+00:00,2023-10-02 10:59:00+00:00,2023-10-02 17:55:00+00:00,2023-10-02 18:25:00+00:00,True
SEZHUK-230928-248359,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,CV9 2SQ,53.462845,-2.896967,52.583936,-1.557171,2023-10-02 10:00:00+00:00,2023-10-02 10:01:00+00:00,2023-10-02 17:55:00+00:00,2023-10-02 18:25:00+00:00,True
SEZHUK-230928-248368,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,B69 3EH,52.800481,-1.663328,52.509485,-2.020513,2023-10-04 14:00:00+00:00,2023-10-05 16:00:00+00:00,2023-10-05 12:00:00+00:00,2023-10-05 16:00:00+00:00,True
SEZHUK-230928-248399,CAUK000770,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,OX16 2AA,53.293393,-1.074008,52.081463,-1.329055,2023-10-02 05:00:00+00:00,2023-10-02 05:59:00+00:00,2023-10-02 10:25:00+00:00,2023-10-02 10:55:00+00:00,True
SEZHUK-230929-248494,CAUK000618,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PA4 8DJ,52.800481,-1.663328,55.873398,-4.404767,2023-10-02 13:00:00+00:00,2023-10-02 13:30:00+00:00,2023-10-03 07:30:00+00:00,2023-10-03 08:00:00+00:00,True
SEZHUK-230929-248496,CAUK000854,Tractor Unit,Curtain-Side 13.6M Trailer,DG16 5HT,GU19 5JB,55.003467,-3.042858,51.372105,-0.681987,2023-10-02 06:00:00+00:00,2023-10-02 14:00:00+00:00,2023-10-03 08:00:00+00:00,2023-10-03 15:59:00+00:00,True
SEZHUK-230929-248502,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,PL7 5JY,DY9 7DP,50.38645,-4.020841,52.457769,-2.122196,2023-10-03 07:00:00+00:00,2023-10-03 07:00:00+00:00,2023-10-03 10:30:00+00:00,2023-10-03 11:00:00+00:00,False
SEZHUK-230929-248504,CAUK000124,Tractor Unit,Curtain-Side 13.6M Trailer,WS10 7WL,LE67 1UA,52.543992,-2.030867,52.701119,-1.339519,2023-10-06 08:00:00+00:00,2023-10-06 08:30:00+00:00,2023-10-06 11:30:00+00:00,2023-10-06 12:00:00+00:00,True
SEZHUK-230929-248505,CAUK000124,Tractor Unit,Curtain-Side 13.6M Trailer,WS10 7WL,LE67 1UA,52.543992,-2.030867,52.701119,-1.339519,2023-10-24 08:49:00+00:00,2023-10-24 09:19:00+00:00,2023-10-26 12:30:00+00:00,2023-10-26 13:00:00+00:00,True
SEZHUK-230929-248513,CAUK000766,Tractor Unit,Box,BD12 7ER,HP2 7PZ,53.753295,-1.722689,51.771553,-0.439081,2023-10-04 22:00:00+00:00,2023-10-04 22:30:00+00:00,2023-10-05 02:00:00+00:00,2023-10-05 02:30:00+00:00,False
SEZHUK-230929-248517,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-10-03 16:00:00+00:00,2023-10-03 16:30:00+00:00,2023-10-03 19:00:00+00:00,2023-10-03 19:30:00+00:00,False
SEZHUK-230929-248518,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-10-04 16:00:00+00:00,2023-10-04 16:30:00+00:00,2023-10-04 19:00:00+00:00,2023-10-04 19:30:00+00:00,True
SEZHUK-230929-248519,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-10-05 16:00:00+00:00,2023-10-05 16:30:00+00:00,2023-10-05 19:00:00+00:00,2023-10-05 19:30:00+00:00,False
SEZHUK-230929-248520,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-10-06 16:00:00+00:00,2023-10-06 16:30:00+00:00,2023-10-06 19:00:00+00:00,2023-10-06 19:30:00+00:00,True
SEZHUK-230929-248537,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,SN3 4FN,53.437296,-1.068189,51.595572,-1.740649,2023-10-02 13:00:00+00:00,2023-10-02 13:59:00+00:00,2023-10-03 06:55:00+00:00,2023-10-03 07:25:00+00:00,True
SEZHUK-230929-248556,CAUK000124,Tractor Unit,Curtain-Side 13.6M Trailer,WS10 7WL,LE67 1UA,52.543992,-2.030867,52.701119,-1.339519,2023-10-02 09:00:00+00:00,2023-10-02 09:30:00+00:00,2023-10-03 08:00:00+00:00,2023-10-03 08:00:00+00:00,True
SEZHUK-230929-248581,CAUK000124,Tractor Unit,Curtain-Side 13.6M Trailer,LE17 4XW,LE67 1UA,52.456317,-1.246575,52.701119,-1.339519,2023-10-03 08:00:00+00:00,2023-10-03 08:30:00+00:00,2023-10-03 12:00:00+00:00,2023-10-03 12:00:00+00:00,False
SEZHUK-230929-248606,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,IP33 2JG,53.293393,-1.074008,52.236599,0.717008,2023-10-02 15:00:00+00:00,2023-10-02 15:59:00+00:00,2023-10-03 08:55:00+00:00,2023-10-03 09:25:00+00:00,True
SEZHUK-230929-248652,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,EH48 2FB,52.315672,-0.157664,55.877803,-3.648558,2023-10-02 17:00:00+00:00,2023-10-02 17:00:00+00:00,2023-10-03 11:00:00+00:00,2023-10-03 11:30:00+00:00,False
SEZHUK-230929-248657,CAUK001004,Tractor Unit,Curtain Side,B24 8DW,NN6 7GX,52.507428,-1.834192,52.358623,-1.166133,2023-10-03 10:00:00+00:00,2023-10-03 10:00:00+00:00,2023-10-03 12:00:00+00:00,2023-10-03 13:00:00+00:00,True
SEZHUK-230929-248667,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,SO16 0AW,53.293393,-1.074008,50.933604,-1.471132,2023-10-02 14:00:00+00:00,2023-10-02 14:59:00+00:00,2023-10-03 07:55:00+00:00,2023-10-03 08:25:00+00:00,True
SEZHUK-230929-248672,CAUK000146,Tractor Unit,Curtain-Side 13.6M Trailer,NP26 3RA,SO16 0WB,51.585139,-2.844668,50.941738,-1.47868,2023-10-03 13:00:00+00:00,2023-10-03 13:30:00+00:00,2023-10-03 18:30:00+00:00,2023-10-04 17:00:00+00:00,True
SEZHUK-230929-248678,CAUK001050,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,NN15 5YT,53.462845,-2.896967,52.370504,-0.684925,2023-10-03 07:00:00+00:00,2023-10-04 05:01:00+00:00,2023-10-03 11:55:00+00:00,2023-10-04 05:01:00+00:00,True
SEZHUK-230929-248693,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,WV4 6UD,53.462845,-2.896967,52.560452,-2.099437,2023-10-03 11:00:00+00:00,2023-10-03 11:01:00+00:00,2023-10-03 17:55:00+00:00,2023-10-03 18:25:00+00:00,True
SEZHUK-230929-248733,CAUK000854,Tractor Unit,Curtain-Side 13.6M Trailer,NP26 3RA,G33 4UL,51.585139,-2.844668,55.865372,-4.135833,2023-10-03 12:00:00+00:00,2023-10-03 12:30:00+00:00,2023-10-04 13:00:00+00:00,2023-10-04 13:30:00+00:00,True
SEZHUK-230929-248736,CAUK000854,Tractor Unit,Curtain-Side 13.6M Trailer,NP26 3RA,G33 4UL,51.585139,-2.844668,55.865372,-4.135833,2023-10-03 11:00:00+00:00,2023-10-03 11:30:00+00:00,2023-10-04 08:00:00+00:00,2023-10-04 08:30:00+00:00,False
SEZHUK-230929-248766,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,NN9 5DB,CM19 5BD,52.3256,-0.613059,51.775406,0.075337,2023-10-02 15:30:00+00:00,2023-10-02 16:00:00+00:00,2023-10-03 07:00:00+00:00,2023-10-03 07:45:00+00:00,True
SEZHUK-230929-248775,CAUK001009,3.5T Van,LWB Van,SE14 5RW,DE74 2TR,51.482963,-0.044736,52.829374,-1.332134,2023-10-02 15:30:00+00:00,2023-10-02 16:30:00+00:00,2023-10-02 20:00:00+00:00,2023-10-03 20:00:00+00:00,True
SEZHUK-230929-248784,CAUK001009,3.5T Van,LWB Van,CR0 4TD,DE74 2TR,51.384873,-0.14022,52.829374,-1.332134,2023-10-04 15:30:00+00:00,2023-10-04 16:30:00+00:00,2023-10-04 19:45:00+00:00,2023-10-04 20:00:00+00:00,True
SEZHUK-230929-248788,CAUK001009,3.5T Van,LWB Van,EN1 1TX,DE74 2TR,51.650981,-0.054718,52.829374,-1.332134,2023-10-05 16:15:00+00:00,2023-10-05 17:15:00+00:00,2023-10-05 19:45:00+00:00,2023-10-05 20:00:00+00:00,True
SEZHUK-230929-248794,CAUK001022,3.5T Van,LWB Van,E1W 2DA,SL3 0BB,51.508392,-0.057296,51.470264,-0.515011,2023-10-02 19:05:00+00:00,2023-10-02 20:05:00+00:00,2023-10-02 20:05:00+00:00,2023-10-02 21:05:00+00:00,True
SEZHUK-230929-248796,CAUK001022,3.5T Van,LWB Van,E1W 2DA,SL3 0BB,51.508392,-0.057296,51.470264,-0.515011,2023-10-03 19:05:00+00:00,2023-10-03 20:05:00+00:00,2023-10-03 20:05:00+00:00,2023-10-03 21:05:00+00:00,True
SEZHUK-230929-248798,CAUK001022,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470264,-0.515011,51.508392,-0.057296,2023-10-03 05:45:00+00:00,2023-10-03 06:45:00+00:00,2023-10-03 07:15:00+00:00,2023-10-03 08:15:00+00:00,True
SEZHUK-230929-248799,CAUK001022,3.5T Van,LWB Van,E1W 2DA,SL3 0BB,51.508392,-0.057296,51.470264,-0.515011,2023-10-04 19:05:00+00:00,2023-10-04 20:05:00+00:00,2023-10-04 20:05:00+00:00,2023-10-04 21:05:00+00:00,True
SEZHUK-230929-248801,CAUK001022,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470264,-0.515011,51.508392,-0.057296,2023-10-04 05:45:00+00:00,2023-10-04 06:45:00+00:00,2023-10-04 07:15:00+00:00,2023-10-04 08:15:00+00:00,True
SEZHUK-230929-248802,CAUK001022,3.5T Van,LWB Van,E1W 2DA,SL3 0BB,51.508392,-0.057296,51.470264,-0.515011,2023-10-05 19:05:00+00:00,2023-10-05 20:05:00+00:00,2023-10-05 20:05:00+00:00,2023-10-05 21:05:00+00:00,True
SEZHUK-230929-248807,CAUK001022,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470264,-0.515011,51.508392,-0.057296,2023-10-06 05:45:00+00:00,2023-10-06 06:45:00+00:00,2023-10-06 07:15:00+00:00,2023-10-06 08:15:00+00:00,True
SEZHUK-230929-248810,CAUK001024,3.5T Van,LWB Van,CO4 9QJ,CM22 7FD,51.920887,0.927015,51.869555,0.216885,2023-10-04 15:30:00+00:00,2023-10-04 16:30:00+00:00,2023-10-04 19:00:00+00:00,2023-10-04 20:00:00+00:00,True
SEZHUK-230930-249012,CAUK000435,Tractor Unit,Box 44ft,AL10 8XF,DE74 2HL,51.74104,-0.218368,52.849282,-1.354253,2023-10-01 12:00:00+00:00,2023-10-01 13:55:01+00:00,2023-10-01 16:18:00+00:00,2023-10-01 17:03:01+00:00,True
SEZHUK-230930-249022,CAUK000428,Tractor Unit,Box 44ft,AL10 8XF,MK4 4BX,51.74104,-0.218368,51.991558,-0.784236,2023-10-01 14:00:00+00:00,2023-10-01 15:55:01+00:00,2023-10-01 17:09:00+00:00,2023-10-01 19:09:01+00:00,True
